Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2008,89,7.986263626562313,3.447901785677138,15.736123088481126,Total
2009,89,7.779410493560377,3.5572418509623427,14.767744361154096,Total
2010,89,11.29223497527807,6.173569940312956,18.946451513430162,Total
2011,89,12.255202333390523,6.859143714946702,20.213092536161707,Total
2012,89,10.86266252214312,5.783910300314018,18.57548373789137,Total
2013,89,5.853674853449069,2.3534808890225762,12.060807440608095,Total
2014,89,6.5769461594745025,2.8394585337919405,12.959205850352536,Total
2015,89,8.125060937957034,3.8962825377266355,14.942276351212076,Total
2000,90+,10.96892138939671,7.682497689614632,15.185610752357155,Total
2001,90+,10.91815439518104,7.6048945782066655,15.184509749625839,Total
2002,90+,10.285202618491585,7.122801805528682,14.372539747831972,Total
2003,90+,9.42243422699233,6.444938036095157,13.301665733086134,Total
2004,90+,8.340211611300123,5.585570610689832,11.977935089739695,Total
2005,90+,11.253309176229635,8.03952906076758,15.323813117415364,Total
2006,90+,8.399197036763285,5.6669029700739175,11.99037603059762,Total
2007,90+,8.110186674124309,5.431519300160227,11.647580909903262,Total
2008,90+,7.48526697932051,4.889624906245977,10.967650427415949,Total
2009,90+,6.109108681043436,3.8285458855790635,9.249263959903487,Total
2010,90+,9.837729244980169,6.961762725671335,13.503052005151762,Total
2011,90+,8.445660619573662,5.882712071146187,11.745869437104698,Total
2012,90+,6.163243783683839,4.061616489134378,8.967196122443587,Total
2013,90+,8.88073834458597,6.34452967427427,12.09304504176924,Total
2014,90+,6.16490045811588,4.128730591202886,8.853825413970215,Total
2015,90+,7.158376985396911,4.957384157368974,10.003114335113757,Total
2000,All cases (crude),11.576480335710258,11.286255948794699,11.872279877124594,Total
2001,All cases (crude),12.463158051408392,12.153920460775476,12.77827386544056,Total
2002,All cases (crude),13.434175669298826,13.113782185785567,13.760419240868362,Total
2003,All cases (crude),13.275776393061687,12.958070376382883,13.599303726072806,Total
2004,All cases (crude),13.802281520322905,13.479163843773973,14.131188783158324,Total
2005,All cases (crude),15.128630708345964,14.791625561149706,15.471377241699113,Total
2006,All cases (crude),15.071072241353148,14.73589301967027,15.411952353930587,Total
2007,All cases (crude),14.74861579920069,14.418398817081897,15.084487672967477,Total
2008,All cases (crude),15.064887574078922,14.732524415748632,15.402857858182049,Total
2009,All cases (crude),15.541307356155594,15.204927098787747,15.883253458223175,Total
2010,All cases (crude),14.581387660286037,14.256993964961584,14.911300614625027,Total
2011,All cases (crude),15.59111539159619,15.257079663273565,15.930621302115295,Total
2012,All cases (crude),15.11579048826452,14.78809750909819,15.448914359955184,Total
2013,All cases (crude),13.479791831617444,13.171502972686062,13.793475183033257,Total
2014,All cases (crude),11.915322121123227,11.626778095889218,12.209217116436164,Total
2015,All cases (crude),10.509921572220017,10.240190817146184,10.784958754392068,Total
2000,All cases (adj),11.664263195186011,11.370701273614442,11.964098876191901,Total
2001,All cases (adj),12.540062888936852,12.2278449612273,12.858907620665752,Total
2002,All cases (adj),13.497003510979113,13.174187341867952,13.826401126520283,Total
2003,All cases (adj),13.34964876033301,13.029394432390294,13.676460221145957,Total
2004,All cases (adj),13.877377428009874,13.551823813719679,14.209464241625163,Total
2005,All cases (adj),15.183590985011358,14.844783380571199,15.528873066394372,Total
2006,All cases (adj),15.10936787699185,14.772827082718976,15.452325554556147,Total
2007,All cases (adj),14.799972958787045,14.468101085024674,15.138194389800464,Total
2008,All cases (adj),15.082591249629106,14.749391928789562,15.421728900395255,Total
2009,All cases (adj),15.576878273346368,15.239259458357973,15.920358552848905,Total
2010,All cases (adj),14.614763505167796,14.289139847012997,14.946175994698702,Total
2011,All cases (adj),15.63377002882149,15.298236548585178,15.975069026277747,Total
2012,All cases (adj),15.177808282258761,14.848136986528496,15.51324235192014,Total
2013,All cases (adj),13.577052128631333,13.265841713673439,13.894025822585945,Total
2014,All cases (adj),12.03137471775772,11.739248001487393,12.329259451553025,Total
2015,All cases (adj),10.63609213174953,10.362247823802054,10.915689874832239,Total
2000,0,77.57951900698215,15.998761905756442,226.72027591782577,Non-UK born
2001,0,36.33720930232558,0.9199784878012317,202.45797205446573,Non-UK born
2002,0,116.75423234092236,14.139479191124632,421.75643127401986,Non-UK born
2003,0,46.64179104477612,5.648537279476796,168.48618628087593,Non-UK born
2004,0,126.42225031605564,26.071307328091095,369.4594635373925,Non-UK born
2005,0,123.50761630300535,25.470239723985248,360.9416661071356,Non-UK born
2006,0,47.91566842357451,5.802809739912913,173.08786937527455,Non-UK born
2007,0,21.110407430863415,0.5344692418047265,117.61966204219753,Non-UK born
2008,0,24.636610002463662,0.6237449614262108,137.2664052953658,Non-UK born
2009,0,29.013539651837522,5.983289389706012,84.78987494915206,Non-UK born
2010,0,14.124293785310735,0.35759615797019634,78.6955281206059,Non-UK born
2011,0,0,0,107.73596536547709,Non-UK born
2012,0,28.409090909090907,0.7192559086445994,158.28532360621867,Non-UK born
2013,0,0,0,81.1456105172445,Non-UK born
2014,0,40.56795131845842,4.912967110425253,146.54538879764627,Non-UK born
2015,0,0,0,80.14076589428494,Non-UK born
2016,0,0,0,52.78121983279347,Non-UK born
2000,1,9.979044007584074,0.2526475200507923,55.59967459274421,Non-UK born
2001,1,35.28166529460191,7.275927589034479,103.10799799767521,Non-UK born
2002,1,116.95906432748538,42.92191527272616,254.57064371381452,Non-UK born
2003,1,31.25,6.444501280162518,91.32576114314921,Non-UK born
2004,1,29.42041776993233,3.5629490812586786,106.27666472085848,Non-UK born
2005,1,31.0880829015544,6.411110081819706,90.8525706709049,Non-UK born
2006,1,0,0,37.46957292142138,Non-UK born
2007,1,5.872680291284943,0.14868339196787583,32.72048033203487,Non-UK born
2008,1,51.103843008994275,16.593278721570126,119.25932215170346,Non-UK born
2009,1,11.251758087201125,1.362640104326104,40.64521894640765,Non-UK born
2010,1,21.545532892846882,4.443206857911532,62.96519010156796,Non-UK born
2011,1,5.085952598921778,0.12876517131670173,28.337114184411032,Non-UK born
2012,1,26.52695802108893,7.227703253705984,67.91954821542342,Non-UK born
2013,1,8.303578842481109,0.21022841471634887,46.264580178849926,Non-UK born
2014,1,14.672437825544714,1.7769002901031836,53.00189030682973,Non-UK born
2015,1,24.9500998003992,5.145310403323367,72.91477935580774,Non-UK born
2016,1,0,0,42.14898827826708,Non-UK born
2000,2,72.62164124909224,31.352870159300135,143.0935840613046,Non-UK born
2001,2,9.883376161296699,0.250225419888218,55.066647469251805,Non-UK born
2002,2,61.473610257310966,24.71557962167267,126.65913200757333,Non-UK born
2003,2,58.47464706373736,23.509840878121018,120.48012164148673,Non-UK born
2004,2,15.583606046439145,1.887246988810698,56.29334321118871,Non-UK born
2005,2,52.94273360981205,19.429050149923693,115.23404237641122,Non-UK born
2006,2,5.98193455763594,0.15144947050481483,33.32920614308127,Non-UK born
2007,2,10.265359544218036,1.2431826645997277,37.08200825193225,Non-UK born
2008,2,13.80135253254819,2.8461706900473924,40.33340879487659,Non-UK born
2009,2,16.571381224625075,4.515143647470069,42.4293175714794,Non-UK born
2010,2,7.583513441777576,0.9183986597807037,27.394258020414668,Non-UK born
2011,2,36.26943005181347,14.582191976786877,74.72888788446828,Non-UK born
2012,2,16.33986928104575,3.3696738719804014,47.752031970274096,Non-UK born
2013,2,17.04085545094364,4.643059573238722,43.63135805139393,Non-UK born
2014,2,0,0,14.34133991957832,Non-UK born
2015,2,9.457457205006147,1.950355042071819,27.6387032872303,Non-UK born
2016,2,0,0,17.50191893587292,Non-UK born
2000,3,75.3693096171239,36.14251353732615,138.60684384999828,Non-UK born
2001,3,61.17455138662316,27.972900335633046,116.12835407435544,Non-UK born
2002,3,58.91710363518529,28.25304127810307,108.35065128155172,Non-UK born
2003,3,23.56489772834386,7.651458149299749,54.9926104219185,Non-UK born
2004,3,19.991004048178322,5.446875774033312,51.184910167443135,Non-UK born
2005,3,90.72913229957109,45.2916559488357,162.33947965442061,Non-UK born
2006,3,18.862941864413173,6.124745878893956,44.019813933386146,Non-UK born
2007,3,17.38727251651791,3.585673599719495,50.81298869677943,Non-UK born
2008,3,8.50014875260317,1.029407448442199,30.705459933375664,Non-UK born
2009,3,27.057192139885682,11.681375103150481,53.31345493351815,Non-UK born
2010,3,3.5379444542720675,0.08957299835234352,19.712164836153892,Non-UK born
2011,3,18.23902238839998,4.969519737478114,46.69914128586794,Non-UK born
2012,3,8.06603393111607,1.6634101118371785,23.572374021300575,Non-UK born
2013,3,18.605805011163483,3.8369642948127125,54.374057738416795,Non-UK born
2014,3,3.638612960739366,0.09212170426914783,20.273053854888104,Non-UK born
2015,3,26.353437241171598,10.595448578871572,54.29815285634507,Non-UK born
2016,3,0,0,14.76851410887155,Non-UK born
2000,4,30.867373186541823,11.327781939967343,67.18527637883881,Non-UK born
2001,4,16.111707841031148,3.322621497828151,47.085247420742874,Non-UK born
