Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2009,45-49,14.123864407673375,12.941390501469566,15.38534595303448,Total (LFS)
2010,45-49,13.133280204837144,12.007195380122557,14.336532124927212,Total (LFS)
2011,45-49,13.869381477337535,12.71993071018683,15.094812851330266,Total (LFS)
2012,45-49,13.191989126105149,12.076037839160843,14.383326021635048,Total (LFS)
2013,45-49,13.401964374349921,12.277832817725182,14.601354081731674,Total (LFS)
2014,45-49,12.808133138875585,11.708852200842085,13.982822635011757,Total (LFS)
2015,45-49,11.591071149513434,10.542454454732011,12.715761622232195,Total (LFS)
2016,45-49,0,0,0.09578852852986512,Total (LFS)
2000,50-54,10.3809355907692,9.318784387467197,11.530979393146108,Total (LFS)
2001,50-54,9.437579965570752,8.425594321757861,10.537638988753203,Total (LFS)
2002,50-54,10.91427073548192,9.802203521181465,12.117949458825933,Total (LFS)
2003,50-54,10.990017400860884,9.855994090300177,12.218737193176246,Total (LFS)
2004,50-54,11.3695357210883,10.206233440523407,12.629100813040827,Total (LFS)
2005,50-54,11.846613990916937,10.654328630522429,13.135829466053229,Total (LFS)
2006,50-54,13.085257833691294,11.832658793790626,14.434373117652058,Total (LFS)
2007,50-54,12.890166390024696,11.654732628537827,14.220918262585132,Total (LFS)
2008,50-54,14.030280646878468,12.75261381797156,15.401289908134833,Total (LFS)
2009,50-54,13.888552290865434,12.630716684972278,15.237745862054537,Total (LFS)
2010,50-54,13.301728345983106,12.08637443167676,14.606187188329548,Total (LFS)
2011,50-54,14.079184514782114,12.845157719540678,15.399772644397272,Total (LFS)
2012,50-54,13.04659436678955,11.87645433406105,14.30084724751338,Total (LFS)
2013,50-54,12.676192105323276,11.538053947594873,13.896236085816767,Total (LFS)
2014,50-54,10.628975019739524,9.602691975536384,11.735068505877942,Total (LFS)
2015,50-54,9.819009973838028,8.845163204526274,10.870794666014877,Total (LFS)
2016,50-54,0,0,0.09611485420663925,Total (LFS)
2000,55-59,11.049867643420399,9.828782382344349,12.380732810304439,Total (LFS)
2001,55-59,9.334011177300255,8.237896148719619,10.535375814650621,Total (LFS)
2002,55-59,8.859451414834556,7.830412963156984,9.9861297361495,Total (LFS)
2003,55-59,8.19868029736835,7.230505781642418,9.260384195433247,Total (LFS)
2004,55-59,8.418177796885212,7.445653370278111,9.482441648600878,Total (LFS)
2005,55-59,9.818052104617964,8.770089999416856,10.956768702961762,Total (LFS)
2006,55-59,9.589569499021833,8.554904039775357,10.71488470530999,Total (LFS)
2007,55-59,11.2007851461542,10.056347598485765,12.439782630701504,Total (LFS)
2008,55-59,10.761678490715983,9.62334863010347,11.997632320797823,Total (LFS)
2009,55-59,12.97051202688214,11.710283792042253,14.329401566562911,Total (LFS)
2010,55-59,11.662236028152503,10.465635258036615,12.958153608847876,Total (LFS)
2011,55-59,13.336018407726312,12.057852797896365,14.712799042793682,Total (LFS)
